"Report date","Week #","Week ","HI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33446.0","29.0","33439.0","978.0","","Week 81","","","2212.0","","","81.0","","","162206.0",""
"33453.0","30.0","33446.0","1083.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","1117.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","1021.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","1043.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","1120.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","1210.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","1242.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","1121.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","987.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","1108.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","1278.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","1279.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","2064.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","1196.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","1188.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","1074.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","1290.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","1006.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","1493.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","1137.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","1299.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","1172.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","1161.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","2222.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","1626.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","1217.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","1274.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","1431.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","1066.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","1466.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","1356.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","1614.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","1433.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","1336.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","1251.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","1548.0","","","","","","","","","","","",""
