"Report date","Week #","Week ","NC","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33278.0","5.0","33271.0","31752.0","","Week 57","","","31131.0","","","57.0","","","999470.0",""
"33285.0","6.0","33278.0","27094.0","","Week 58","","","22878.0","","","58.0","","","1022348.0",""
"33292.0","7.0","33285.0","25131.0","","Week 59","","","31541.0","","","59.0","","","1053889.0",""
"33299.0","8.0","33292.0","29213.0","","Week 60","","","31869.0","","","60.0","","","1085758.0",""
"33306.0","9.0","33299.0","25313.0","","Week 61","","","28843.0","","","61.0","","","1114601.0",""
"33313.0","10.0","33306.0","27985.0","","Week 62","","","26883.0","","","62.0","","","1141484.0",""
"33320.0","11.0","33313.0","25654.0","","Week 63","","","29523.0","","","63.0","","","1171007.0",""
"33327.0","12.0","33320.0","16049.0","","Week 64","","","31595.0","","","64.0","","","1202602.0",""
"33334.0","13.0","33327.0","30140.0","","Week 65","","","29344.0","","","65.0","","","1231946.0",""
"33341.0","14.0","33334.0","27980.0","","Week 66","","","28151.0","","","66.0","","","1260097.0",""
"33348.0","15.0","33341.0","18451.0","","Week 67","","","26954.0","","","67.0","","","1287051.0",""
"33355.0","16.0","33348.0","16954.0","","Week 68","","","29122.0","","","68.0","","","1316173.0",""
"33362.0","17.0","33355.0","15956.0","","Week 69","","","22694.0","","","69.0","","","1338867.0",""
"33369.0","18.0","33362.0","20469.0","","Week 70","","","25677.0","","","70.0","","","1364544.0",""
"33376.0","19.0","33369.0","16537.0","","Week 71","","","28226.0","","","71.0","","","1392770.0",""
"33383.0","20.0","33376.0","13807.0","","Week 72","","","19238.0","","","72.0","","","1412008.0",""
"33390.0","21.0","33383.0","16266.0","","Week 73","","","23021.0","","","73.0","","","1435029.0",""
"33397.0","22.0","33390.0","19099.0","","Week 74","","","25714.0","","","74.0","","","1460743.0",""
"33404.0","23.0","33397.0","15580.0","","Week 75","","","21762.0","","","75.0","","","1482505.0",""
"33411.0","24.0","33404.0","13798.0","","Week 76","","","20802.0","","","76.0","","","1503307.0",""
"33418.0","25.0","33411.0","11173.0","","Week 77","","","25141.0","","","77.0","","","1528448.0",""
"33425.0","26.0","33418.0","12345.0","","Week 78","","","20427.0","","","78.0","","","1548875.0",""
"33432.0","27.0","33425.0","30915.0","","Week 79","","","20972.0","","","79.0","","","1569847.0",""
"33439.0","28.0","33432.0","27093.0","","Week 80","","","23163.0","","","80.0","","","1593010.0",""
"33446.0","29.0","33439.0","15214.0","","Week 81","","","19180.0","","","81.0","","","1612190.0",""
"33453.0","30.0","33446.0","12407.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","15805.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","14599.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","13810.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","12762.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","11602.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","13620.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","10917.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","9916.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","11356.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","12185.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","10993.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","11659.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","12353.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","13683.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","12503.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","15024.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","10397.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","30329.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","25699.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","16082.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","12224.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","51156.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","79284.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","38674.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","22081.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","19713.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","18764.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","17611.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","16993.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","17516.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","17736.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","16243.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","15408.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","14226.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","15667.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","14828.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","10911.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","12348.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","17926.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","13112.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","14476.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","11774.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","9007.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","12453.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","10573.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","13597.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","10297.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","9933.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","23722.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","26048.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","14661.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","10528.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","12154.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","9460.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","10399.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","12017.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","11087.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","11382.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","12571.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","9612.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","9122.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","6614.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","6438.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","6895.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","6608.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","7376.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","7754.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","7870.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","5060.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","12570.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","12240.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","8278.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","5200.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","9684.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","23821.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","18822.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","11456.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","10683.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","9620.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","8747.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","9062.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","8171.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","7765.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","8933.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","7395.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","10238.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","9538.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","6670.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","8514.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","9224.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","6706.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","6581.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","6439.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","6316.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","5699.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","5686.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","6949.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","6519.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","6015.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","5744.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","8866.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","12215.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","9755.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","7527.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","6681.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","6394.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","5677.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","5507.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","5348.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","5689.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","6153.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","5449.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","5576.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","7136.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","7334.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","8012.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","8593.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","9412.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","8205.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","9334.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","5263.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","17416.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","10644.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","9073.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","7411.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","15000.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","38924.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","31596.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","17028.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","21121.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","16274.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","12011.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","12903.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","11064.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","10648.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","13728.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","10047.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","8231.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","7920.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","12275.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","10130.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","9333.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","6988.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","9452.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","11849.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","11378.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","9067.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","8072.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","11605.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","9926.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","10110.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","7745.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","15195.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","23582.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","17711.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","8660.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","8921.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","9550.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","7963.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","9924.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","9529.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","7714.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","8882.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","7174.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","6517.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","8270.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","7063.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","8176.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","8609.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","10145.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","8119.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","11813.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","6408.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","20069.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","17101.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","10508.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","8703.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","17381.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","38174.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","36058.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","17767.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","14269.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","13145.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","13103.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","17953.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","16659.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","14236.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","16325.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","15192.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","11278.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","12211.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","9303.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","9303.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","10958.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","14248.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","11754.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","11223.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","14008.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","14324.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","13131.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","14323.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","14862.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","11511.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","12332.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","15552.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","32812.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","25489.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","16251.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","12741.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","12548.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","11639.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","9948.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","9204.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","11008.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","17168.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","10462.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","10189.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","11673.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","14102.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","11677.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","12158.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","11969.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","15094.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","17771.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","9697.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","28665.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","19852.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","15488.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","15379.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","19247.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","46393.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","39424.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","46243.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","33782.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","17069.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","20418.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","33968.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","15935.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","16675.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","16370.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","17047.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","15772.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","15017.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","15302.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","17037.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","17703.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","11975.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","11911.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","12735.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","13213.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","10689.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","10431.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","17022.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","12223.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","11394.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","10095.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","11541.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","28323.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","20723.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","12445.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","9627.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","10144.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","10182.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","10351.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","8382.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","7336.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","18007.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","16017.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","11426.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","11199.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","11322.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","11095.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","10297.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","9528.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","12075.0","","","","","","","","","","","",""
"35385.0","45.0","35378.0","11097.0","","","","","","","","","","","",""
"35392.0","46.0","35385.0","13524.0","","","","","","","","","","","",""
"35399.0","47.0","35392.0","7840.0","","","","","","","","","","","",""
"35406.0","48.0","35399.0","21675.0","","","","","","","","","","","",""
