"Report date","Week #","Week ","OH","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33173.0","42.0","33166.0","18761.0","","Week 42","","","20729.0","","","42.0","","","608140.0",""
"33180.0","43.0","33173.0","16839.0","","Week 43","","","16412.0","","","43.0","","","624552.0",""
"33187.0","44.0","33180.0","18397.0","","Week 44","","","13489.0","","","44.0","","","638041.0",""
"33194.0","45.0","33187.0","19623.0","","Week 45","","","17438.0","","","45.0","","","655479.0",""
"33201.0","46.0","33194.0","22636.0","","Week 46","","","21323.0","","","46.0","","","676802.0",""
"33208.0","47.0","33201.0","25711.0","","Week 47","","","21500.0","","","47.0","","","698302.0",""
"33215.0","48.0","33208.0","30782.0","","Week 48","","","21185.0","","","48.0","","","719487.0",""
"33222.0","49.0","33215.0","24834.0","","Week 49","","","27843.0","","","49.0","","","747330.0",""
"33229.0","50.0","33222.0","30778.0","","Week 50","","","25698.0","","","50.0","","","773028.0",""
"33236.0","51.0","33229.0","32686.0","","Week 51","","","31049.0","","","51.0","","","804077.0",""
"33243.0","52.0","33236.0","34583.0","","Week 52","","","28133.0","","","52.0","","","832210.0",""
"33250.0","1.0","33243.0","41392.0","","Week 53","","","32456.0","","","53.0","","","864666.0",""
"33257.0","2.0","33250.0","31475.0","","Week 54","","","35727.0","","","54.0","","","900393.0",""
"33264.0","3.0","33257.0","23606.0","","Week 55","","","28228.0","","","55.0","","","928621.0",""
"33271.0","4.0","33264.0","23875.0","","Week 56","","","40829.0","","","56.0","","","969450.0",""
"33278.0","5.0","33271.0","24779.0","","Week 57","","","34352.0","","","57.0","","","1003802.0",""
"33285.0","6.0","33278.0","25527.0","","Week 58","","","24426.0","","","58.0","","","1028228.0",""
"33292.0","7.0","33285.0","25090.0","","Week 59","","","29164.0","","","59.0","","","1057392.0",""
"33299.0","8.0","33292.0","23194.0","","Week 60","","","29372.0","","","60.0","","","1086764.0",""
"33306.0","9.0","33299.0","22817.0","","Week 61","","","25589.0","","","61.0","","","1112353.0",""
"33313.0","10.0","33306.0","19213.0","","Week 62","","","28320.0","","","62.0","","","1140673.0",""
"33320.0","11.0","33313.0","24760.0","","Week 63","","","28551.0","","","63.0","","","1169224.0",""
"33327.0","12.0","33320.0","16350.0","","Week 64","","","27481.0","","","64.0","","","1196705.0",""
"33334.0","13.0","33327.0","16077.0","","Week 65","","","24084.0","","","65.0","","","1220789.0",""
"33341.0","14.0","33334.0","14885.0","","Week 66","","","23104.0","","","66.0","","","1243893.0",""
"33348.0","15.0","33341.0","21270.0","","Week 67","","","26104.0","","","67.0","","","1269997.0",""
"33355.0","16.0","33348.0","15197.0","","Week 68","","","23388.0","","","68.0","","","1293385.0",""
"33362.0","17.0","33355.0","14229.0","","Week 69","","","25323.0","","","69.0","","","1318708.0",""
"33369.0","18.0","33362.0","12663.0","","Week 70","","","22013.0","","","70.0","","","1340721.0",""
"33376.0","19.0","33369.0","18162.0","","Week 71","","","22812.0","","","71.0","","","1363533.0",""
"33383.0","20.0","33376.0","13965.0","","Week 72","","","23825.0","","","72.0","","","1387358.0",""
"33390.0","21.0","33383.0","13028.0","","Week 73","","","25907.0","","","73.0","","","1413265.0",""
"33397.0","22.0","33390.0","13125.0","","Week 74","","","23385.0","","","74.0","","","1436650.0",""
"33404.0","23.0","33397.0","11856.0","","Week 75","","","21227.0","","","75.0","","","1457877.0",""
"33411.0","24.0","33404.0","12577.0","","Week 76","","","19950.0","","","76.0","","","1477827.0",""
"33418.0","25.0","33411.0","11290.0","","Week 77","","","25054.0","","","77.0","","","1502881.0",""
"33425.0","26.0","33418.0","13318.0","","Week 78","","","21252.0","","","78.0","","","1524133.0",""
"33432.0","27.0","33425.0","15263.0","","Week 79","","","21031.0","","","79.0","","","1545164.0",""
"33439.0","28.0","33432.0","15956.0","","Week 80","","","21665.0","","","80.0","","","1566829.0",""
"33446.0","29.0","33439.0","15943.0","","Week 81","","","25905.0","","","81.0","","","1592734.0",""
"33453.0","30.0","33446.0","16656.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","20257.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","17027.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","12340.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","10935.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","11932.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","10531.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","13804.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","12628.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","13327.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","12264.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","14472.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","14058.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","15085.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","17762.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","18689.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","22121.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","19865.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","30269.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","25986.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","25885.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","25592.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","30333.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","35994.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","32138.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","22569.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","19190.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","23234.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","19757.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","15490.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","15935.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","14619.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","14943.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","15776.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","11701.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","13641.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","14997.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","11319.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","11538.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","11214.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","14776.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","10213.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","10040.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","11049.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","12968.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","11767.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","11324.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","10530.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","13173.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","16376.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","15914.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","49321.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","14795.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","13554.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","11673.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","11684.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","10229.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","17735.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","12229.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","10115.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","10346.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","10665.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","12346.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","10721.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","15082.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","12168.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","16035.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","15877.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","13675.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","12702.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","16216.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","18553.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","14518.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","15840.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","16684.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","27043.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","22322.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","12950.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","12454.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","11824.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","9956.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","10398.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","11578.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","11515.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","10165.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","10054.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","7478.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","10819.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","9660.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","8844.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","9686.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","7943.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","10255.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","8089.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","8175.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","8111.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","8915.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","9024.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","9323.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","8323.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","9726.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","9951.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","11503.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","23475.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","11477.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","10090.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","7694.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","7585.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","7065.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","8078.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","8222.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","7768.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","7124.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","7436.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","10731.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","8327.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","9450.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","9294.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","14584.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","9743.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","12464.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","10537.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","13469.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","15765.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","13215.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","17997.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","18391.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","25174.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","19682.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","15699.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","14473.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","13438.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","10784.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","11320.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","8912.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","13249.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","9239.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","8334.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","8366.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","8388.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","11196.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","10070.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","8310.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","7469.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","10319.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","8163.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","7899.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","7919.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","8259.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","9127.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","8693.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","7611.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","8602.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","10993.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","17543.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","13328.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","9617.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","8078.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","7778.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","7033.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","7248.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","8997.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","6370.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","6616.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","6352.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","6584.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","8733.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","6743.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","7597.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","7543.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","10369.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","8034.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","11051.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","9494.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","12004.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","15623.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","12871.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","15729.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","16262.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","20294.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","27846.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","16479.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","14461.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","13314.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","12183.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","10902.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","8029.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","9200.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","9317.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","7553.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","9123.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","7539.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","9189.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","9497.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","8289.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","9809.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","8879.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","8691.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","7827.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","9440.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","8950.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","10548.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","9975.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","9115.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","8409.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","11723.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","12119.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","16051.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","10727.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","9187.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","8199.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","10284.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","7466.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","6647.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","8669.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","6871.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","7656.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","6683.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","9773.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","9419.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","9360.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","8961.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","14738.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","10147.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","18524.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","11906.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","13954.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","15583.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","17077.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","20111.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","18631.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","20948.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","25836.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","17762.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","15668.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","13603.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","17216.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","12484.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","10444.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","10032.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","11808.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","10827.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","12855.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","17433.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","20604.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","11888.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","9928.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","8953.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","9451.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","8712.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","8308.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","7693.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","8429.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","9364.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","10115.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","8563.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","7573.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","10713.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","10663.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","14109.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","9592.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","8530.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","7385.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","7464.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","6458.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","6844.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","7992.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","6476.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","7230.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","6640.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","8209.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","10105.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","6059.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","13052.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","13881.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","13899.0","","","","","","","","","","","",""
"35385.0","45.0","35378.0","15661.0","","","","","","","","","","","",""
