"Report date","Week #","Week ","TN","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33761.0","22.0","33754.0","6794.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","6179.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","6431.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","6398.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","6915.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","18732.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","18583.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","10423.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","7815.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","8666.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","7800.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","6605.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","6337.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","6419.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","5129.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","6789.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","5247.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","4722.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","6682.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","4901.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","5255.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","5570.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","8354.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","6229.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","6541.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","4745.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","12307.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","9737.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","7217.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","6376.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","17133.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","35924.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","22950.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","9273.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","7239.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","6416.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","5785.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","4722.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","6097.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","5957.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","6190.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","4920.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","8787.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","7835.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","5905.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","6298.0","","","","","","","","","","","",""
