"Report date","Week #","Week ","VA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33026.0","21.0","33019.0","4925.0","","Week 21","13698.0","5487.0","5095.0","","","21.0","175139.0","134231.0","125856.0",""
"33033.0","22.0","33026.0","5673.0","","Week 22","12958.0","4868.0","5692.0","","","22.0","188097.0","139099.0","131548.0",""
"33040.0","23.0","33033.0","5024.0","","Week 23","20953.0","5541.0","4835.0","","","23.0","209050.0","144640.0","136383.0",""
"33047.0","24.0","33040.0","8387.0","","Week 24","22835.0","5601.0","4086.0","","","24.0","231885.0","150241.0","140469.0",""
"33054.0","25.0","33047.0","13611.0","","Week 25","23216.0","5734.0","5399.0","","","25.0","255101.0","155975.0","145868.0",""
"33061.0","26.0","33054.0","16462.0","","Week 26","20741.0","8029.0","5138.0","","","26.0","275842.0","164004.0","151006.0",""
"33068.0","27.0","33061.0","7884.0","","Week 27","15767.0","6090.0","4925.0","","","27.0","291609.0","170094.0","155931.0",""
"33075.0","28.0","33068.0","6474.0","","Week 28","12556.0","8673.0","4692.0","","","28.0","304165.0","178767.0","160623.0",""
"33082.0","29.0","33075.0","5854.0","","Week 29","15836.0","9712.0","4801.0","","","29.0","320001.0","188479.0","165424.0",""
"33089.0","30.0","33082.0","5916.0","","Week 30","10937.0","8117.0","7766.0","","","30.0","330938.0","196596.0","173190.0",""
"33096.0","31.0","33089.0","5624.0","","Week 31","14493.0","7492.0","6575.0","","","31.0","345431.0","204088.0","179765.0",""
"33103.0","32.0","33096.0","6781.0","","Week 32","11788.0","9255.0","4887.0","","","32.0","357219.0","213343.0","184652.0",""
"33110.0","33.0","33103.0","5652.0","","Week 33","10487.0","7444.0","5151.0","","","33.0","367706.0","220787.0","189803.0",""
"33117.0","34.0","33110.0","5508.0","","Week 34","16502.0","7691.0","5251.0","","","34.0","384208.0","228478.0","195054.0",""
"33124.0","35.0","33117.0","6174.0","","Week 35","12740.0","8251.0","4904.0","","","35.0","396948.0","236729.0","199958.0",""
"33131.0","36.0","33124.0","5933.0","","Week 36","11689.0","9376.0","5115.0","","","36.0","408637.0","246105.0","205073.0",""
"33138.0","37.0","33131.0","6382.0","","Week 37","8834.0","10210.0","4895.0","","","37.0","417471.0","256315.0","209968.0",""
"33145.0","38.0","33138.0","5981.0","","Week 38","11455.0","","5239.0","","","38.0","428926.0","","215207.0",""
"33152.0","39.0","33145.0","6922.0","","Week 39","","","6846.0","","","39.0","","","222053.0",""
"33159.0","40.0","33152.0","7155.0","","Week 40","","","5394.0","","","40.0","","","227447.0",""
"33166.0","41.0","33159.0","12051.0","","Week 41","","","5944.0","","","41.0","","","233391.0",""
"33173.0","42.0","33166.0","14840.0","","Week 42","","","7418.0","","","42.0","","","240809.0",""
"33180.0","43.0","33173.0","9155.0","","Week 43","","","6655.0","","","43.0","","","247464.0",""
"33187.0","44.0","33180.0","10555.0","","Week 44","","","7553.0","","","44.0","","","255017.0",""
"33194.0","45.0","33187.0","10490.0","","Week 45","","","7894.0","","","45.0","","","262911.0",""
"33201.0","46.0","33194.0","12207.0","","Week 46","","","7666.0","","","46.0","","","270577.0",""
"33208.0","47.0","33201.0","11787.0","","Week 47","","","10354.0","","","47.0","","","280931.0",""
"33215.0","48.0","33208.0","13698.0","","Week 48","","","7993.0","","","48.0","","","288924.0",""
"33222.0","49.0","33215.0","12958.0","","Week 49","","","11360.0","","","49.0","","","300284.0",""
"33229.0","50.0","33222.0","20953.0","","Week 50","","","6946.0","","","50.0","","","307230.0",""
"33236.0","51.0","33229.0","22835.0","","Week 51","","","16289.0","","","51.0","","","323519.0",""
"33243.0","52.0","33236.0","23216.0","","Week 52","","","9917.0","","","52.0","","","333436.0",""
"33250.0","1.0","33243.0","20741.0","","Week 53","","","13929.0","","","53.0","","","347365.0",""
"33257.0","2.0","33250.0","15767.0","","Week 54","","","7986.0","","","54.0","","","355351.0",""
"33264.0","3.0","33257.0","12556.0","","Week 55","","","15348.0","","","55.0","","","370699.0",""
"33271.0","4.0","33264.0","15836.0","","Week 56","","","21862.0","","","56.0","","","392561.0",""
"33278.0","5.0","33271.0","10937.0","","Week 57","","","12548.0","","","57.0","","","405109.0",""
"33285.0","6.0","33278.0","14493.0","","Week 58","","","13230.0","","","58.0","","","418339.0",""
"33292.0","7.0","33285.0","11788.0","","Week 59","","","11293.0","","","59.0","","","429632.0",""
"33299.0","8.0","33292.0","10487.0","","Week 60","","","12396.0","","","60.0","","","442028.0",""
"33306.0","9.0","33299.0","16502.0","","Week 61","","","13308.0","","","61.0","","","455336.0",""
"33313.0","10.0","33306.0","12740.0","","Week 62","","","9818.0","","","62.0","","","465154.0",""
"33320.0","11.0","33313.0","11689.0","","Week 63","","","11919.0","","","63.0","","","477073.0",""
"33327.0","12.0","33320.0","8834.0","","Week 64","","","12100.0","","","64.0","","","489173.0",""
"33334.0","13.0","33327.0","11455.0","","Week 65","","","11743.0","","","65.0","","","500916.0",""
"33341.0","14.0","33334.0","14120.0","","Week 66","","","10336.0","","","66.0","","","511252.0",""
"33348.0","15.0","33341.0","7909.0","","Week 67","","","11916.0","","","67.0","","","523168.0",""
"33355.0","16.0","33348.0","6985.0","","Week 68","","","12191.0","","","68.0","","","535359.0",""
"33362.0","17.0","33355.0","6999.0","","Week 69","","","9518.0","","","69.0","","","544877.0",""
"33369.0","18.0","33362.0","11397.0","","Week 70","","","9777.0","","","70.0","","","554654.0",""
"33376.0","19.0","33369.0","8016.0","","Week 71","","","9117.0","","","71.0","","","563771.0",""
"33383.0","20.0","33376.0","6069.0","","Week 72","","","7388.0","","","72.0","","","571159.0",""
"33390.0","21.0","33383.0","5939.0","","Week 73","","","10259.0","","","73.0","","","581418.0",""
"33397.0","22.0","33390.0","6533.0","","Week 74","","","9811.0","","","74.0","","","591229.0",""
"33404.0","23.0","33397.0","7141.0","","Week 75","","","8646.0","","","75.0","","","599875.0",""
"33411.0","24.0","33404.0","7791.0","","Week 76","","","7866.0","","","76.0","","","607741.0",""
"33418.0","25.0","33411.0","8186.0","","Week 77","","","10374.0","","","77.0","","","618115.0",""
"33425.0","26.0","33418.0","8315.0","","Week 78","","","9572.0","","","78.0","","","627687.0",""
"33432.0","27.0","33425.0","8787.0","","Week 79","","","8877.0","","","79.0","","","636564.0",""
"33439.0","28.0","33432.0","7002.0","","Week 80","","","8361.0","","","80.0","","","644925.0",""
"33446.0","29.0","33439.0","5959.0","","Week 81","","","8536.0","","","81.0","","","653461.0",""
"33453.0","30.0","33446.0","6041.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","5986.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","5223.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","4979.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","5165.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","5070.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","5478.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","5213.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","5131.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","6774.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","6370.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","5256.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","5824.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","6201.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","7340.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","6987.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","8733.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","8690.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","11486.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","11923.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","22283.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","11729.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","14294.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","16812.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","16286.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","9693.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","9332.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","9250.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","7785.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","7728.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","7992.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","8703.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","6592.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","6613.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","6936.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","6696.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","6470.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","7695.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","5230.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","5309.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","5552.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","6808.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","5085.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","4660.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","6109.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","5406.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","6736.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","8386.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","8027.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","9312.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","6365.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","7017.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","6224.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","5918.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","6209.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","4916.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","4843.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","5099.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","4605.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","4821.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","4563.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","4544.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","6014.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","4545.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","5332.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","5361.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","5958.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","5211.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","6289.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","4923.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","10966.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","7315.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","8948.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","6774.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","8333.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","13830.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","11137.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","7475.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","8130.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","6122.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","6848.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","5069.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","5028.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","6104.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","5553.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","6805.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","6183.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","5738.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","5806.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","6737.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","4882.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","4889.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","4630.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","4546.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","4140.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","4160.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","4289.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","4116.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","4146.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","3871.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","6130.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","5904.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","5417.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","5255.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","3958.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","4425.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","3918.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","3674.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","3168.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","3415.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","3401.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","3533.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","3808.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","3479.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","5183.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","4365.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","5315.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","4398.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","5284.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","4623.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","6633.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","4036.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","8464.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","6815.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","11579.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","9926.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","6344.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","17038.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","13034.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","7449.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","9174.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","9089.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","5203.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","6714.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","4944.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","6346.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","7597.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","5730.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","4988.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","5913.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","5768.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","4917.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","4889.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","4179.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","5523.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","5548.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","5181.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","5754.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","4358.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","5779.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","3996.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","5359.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","8520.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","6942.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","6580.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","6776.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","4782.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","4516.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","3802.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","3981.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","3796.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","3779.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","3488.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","4524.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","4312.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","3747.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","4935.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","4157.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","4443.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","4101.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","5322.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","4073.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","5614.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","4553.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","6762.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","7373.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","10747.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","15204.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","12691.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","11645.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","10767.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","6481.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","6339.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","6609.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","7511.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","5681.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","4920.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","6181.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","5701.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","4897.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","4803.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","5008.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","6440.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","5472.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","4157.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","4832.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","5398.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","4850.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","6437.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","6136.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","4809.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","5982.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","6688.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","5849.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","11418.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","8148.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","8722.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","5697.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","4711.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","5631.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","5566.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","5605.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","4420.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","5498.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","4509.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","5898.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","4731.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","4265.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","6172.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","5852.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","5228.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","4707.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","7507.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","5005.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","9038.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","10856.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","7810.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","7238.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","11011.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","17886.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","12875.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","13702.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","9992.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","18064.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","16167.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","6659.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","8443.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","7074.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","5742.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","5516.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","5463.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","5685.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","5683.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","4745.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","5978.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","6331.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","5322.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","4165.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","4789.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","4853.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","4284.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","4608.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","4143.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","5391.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","6669.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","6353.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","7683.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","6453.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","8977.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","5580.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","4928.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","4458.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","5220.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","4125.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","3496.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","3974.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","3672.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","4537.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","4166.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","3493.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","4181.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","5212.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","4310.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","5125.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","4640.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","4819.0","","","","","","","","","","","",""
"35385.0","45.0","35378.0","5259.0","","","","","","","","","","","",""
"35392.0","46.0","35385.0","6536.0","","","","","","","","","","","",""
"35399.0","47.0","35392.0","3858.0","","","","","","","","","","","",""
"35406.0","48.0","35399.0","6762.0","","","","","","","","","","","",""
"35413.0","49.0","35406.0","8686.0","","","","","","","","","","","",""
