"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34020.0","7.0","34013.0","10139.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","7470.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","7529.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","7183.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","7255.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","6522.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","7134.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","6836.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","6080.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","9088.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","6157.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","7055.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","6528.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","7151.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","6650.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","7008.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","6591.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","6287.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","7724.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","9912.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","9092.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","7043.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","7119.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","5532.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","6485.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","5451.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","5765.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","5188.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","6161.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","6040.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","5573.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","5481.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","5498.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","6434.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","5493.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","6779.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","6635.0","","","","","","","","","","","",""
