"Report date","Week #","Week ","NY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33376.0","19.0","33369.0","21286.0","","Week 71","","","40552.0","","","71.0","","","1855789.0",""
"33383.0","20.0","33376.0","22223.0","","Week 72","","","27166.0","","","72.0","","","1882955.0",""
"33390.0","21.0","33383.0","18583.0","","Week 73","","","27575.0","","","73.0","","","1910530.0",""
"33397.0","22.0","33390.0","24037.0","","Week 74","","","26845.0","","","74.0","","","1937375.0",""
"33404.0","23.0","33397.0","21763.0","","Week 75","","","26141.0","","","75.0","","","1963516.0",""
"33411.0","24.0","33404.0","22392.0","","Week 76","","","25803.0","","","76.0","","","1989319.0",""
"33418.0","25.0","33411.0","28339.0","","Week 77","","","30598.0","","","77.0","","","2019917.0",""
"33425.0","26.0","33418.0","32673.0","","Week 78","","","25299.0","","","78.0","","","2045216.0",""
"33432.0","27.0","33425.0","34995.0","","Week 79","","","25509.0","","","79.0","","","2070725.0",""
"33439.0","28.0","33432.0","26809.0","","Week 80","","","28528.0","","","80.0","","","2099253.0",""
"33446.0","29.0","33439.0","23902.0","","Week 81","","","37441.0","","","81.0","","","2136694.0",""
"33453.0","30.0","33446.0","26535.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","25097.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","21875.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","21452.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","21158.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","19565.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","24244.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","22022.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","21756.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","23705.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","23293.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","19978.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","24083.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","23787.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","27860.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","25781.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","26008.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","28963.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","36665.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","33697.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","31588.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","31992.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","37899.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","51482.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","40553.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","28973.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","33005.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","34581.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","30678.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","24201.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","30665.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","30069.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","26097.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","28400.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","23914.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","24802.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","24617.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","23652.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","24515.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","29462.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","26582.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","23650.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","22379.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","18587.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","23616.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","21887.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","21061.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","23573.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","30571.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","31065.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","26835.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","33667.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","32605.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","24033.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","20873.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","20702.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","19981.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","21243.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","18002.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","22780.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","19129.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","20023.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","22294.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","17945.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","22611.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","21465.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","22395.0","","","","","","","","","","","",""
